Fraud,Address,Normal_Txns,Normal_Sent_txns,Normal_Received_txns,ERC20_txns,ERC20_Sent_txns,ERC20_Received_txns,Internal_Txn,Eth_Volume,Sent_Eth,Received_Eth,ERC20_Volume,Sent_ERC20,Received_ERC20,Stable_Coin_Volume,Sent_Stable_Coin,Received_Stable_Coin,First_Txn_Timestamp,Last_Txn_Timestamp,Wallet_LifeTime,Min_Time_Btw_Normal_Txns,Avg_Time_Btw_Normal_Txns,Max_Time_Btw_Normal_Txns,Min_Time_Btw_ERC20_Txns,Avg_Time_Btw_ERC20_Txns,Max_Time_Btw_ERC20_Txns,Min_Time_Btw_Txns,Avg_Time_Btw_Txns,Max_Time_Btw_Txns,Uniq_Wallet_In_Normal_Txns,Uniq_SmrtCntrs_In_Normal_Txns,Uniq_Wallet_In_ERC20_Txns,Uniq_SmrtCntrs_In_ERC20_Txns
1,0x116de5e3fb1e46b7cd2b629443d58a808335ad3c,22,4,18,0,0,0,0,7.328935870629996,3.662635923050906,3.6662999475790903,0,0,0,0,0,0,1645541945,1648145938,2603993000,0,118363000,71000,0,0,0,0,118363000,71000,13,0,0,0
1,0x0d9786138578fcdcce04435592545ef08422d755,41,2,39,0,0,0,0,168.3994423056992,84.1990806528496,84.20036165284961,0,0,0,0,0,0,1517226760,1519566215,2339455000,0,57060000,217000,0,0,0,0,57060000,217000,37,0,0,0
1,0xfacb2bc89209cc498b01484a265e2481f4b960aa,6,4,2,2,1,1,1,103.8185032169538,51.74182092695381,52.07668229,46943.8319,23471.91595,23471.91595,46943.8319,23471.91595,23471.91595,1599007324,1599128821,121497000,187000,20250000,9962000,777000,388000,0,0,15187000,9962000,4,2,1,1
1,0xa1a36a8df41b03f0e0a77832c23361af0bef2f17,19,1,18,0,0,0,0,0.419309,0.209224,0.210085,0,0,0,0,0,0,1522763389,1525185913,2422524000,167000,127501000,100763000,0,0,0,167000,127501000,100763000,19,0,0,0
1,0xf62960f4b886ff538eccd07ad2d3bfa69df956bc,29,1,28,0,0,0,0,142.3812379563635,71.188211478,71.19302647836348,0,0,0,0,0,0,1612280472,1613577319,1296847000,46000,44719000,110150000,0,0,0,46000,44719000,110150000,27,0,0,0
1,0x997ad34840281d459251abdf9c90d9a8c6a6e01a,27,12,15,4,0,4,0,31.409142205000002,15.698995205000001,15.710147,913.684,0,913.684,0,0,0,1524606164,1663609643,139003479000,41000,143425000,132000,9774199000,33619339000,18823746000,41000,4483983000,132000,23,1,4,0
1,0xc57597f5fc469386ab8c53740b5cf6c4a78e8eec,0,0,0,1,0,1,0,0,0,0,0.01,0,0.01,0,0,0,1663610267,1663610267,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0x011da0ab16577cbb73374a5b9b869d66253150e7,0,0,0,5,0,5,0,0,0,0,7.348,0,7.348,0,0,0,1528490212,1557730233,29240021000,0,0,0,1417000,5848004000,19465044000,1417000,5848004000,19465044000,0,0,3,1
1,0xae34b154ada796cfebe8a60d265d266ef809fb05,33,10,23,3,0,3,0,35.19069897574209,17.591044487871045,17.599654487871046,102.337,0,102.337,0,0,0,1532714424,1547966568,15252144000,49000,348745000,10062000,3494981000,5048421000,0,49000,423671000,10062000,27,0,3,0
1,0xc5404f0043cced5ebf1f0af90259428349cd6961,9,4,5,0,0,0,0,0.13111161708776053,0.05778728780737877,0.07332432928038177,0,0,0,0,0,0,1637647584,1649806629,12159045000,0,1351005000,286000,0,0,0,0,1351005000,286000,4,0,0,0
